NCT.ID,Title,Recruitment,Study.Results,Conditions,Interventions,Sponsors,Gender,Age.Groups,Phases,Enrollment,Funded.Bys,Study.Types,Study.Designs,Other.IDs,First.Received,Start.Date,Completion.Date,Last.Updated,Last.Verified,Acronym,Primary.Completion.Date,Outcome.Measures,URL,study.location,Drug,FDA_app,Number_ints,Brand_name_in_trial
NCT00002975,Photodynamic Therapy in Treating Patients With Skin Cancer,Completed,No Results Available,Non-melanomatous Skin Cancer|Precancerous Condition,Drug: aminolevulinic acid,Roswell Park Cancer Institute|National Cancer Institute (NCI),Both,Child|Adult|Senior,Phase II,175,Other|NIH,Interventional,Allocation: Non-Randomized|Control: Active Control|Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,CDR0000065494|RPCI-DS-96-55|NCI-G97-1224,11/01/1999,01/02/1997,01/04/2010,9/15/2010,01/09/2010,,01/04/2009,Efficacy|Range of biological variations in PpIX levels and distributions within lesions and skin|Range of biological variations in the rate and extent of treatment-induced photobleaching of the PpIX and recovery from photobleaching|Range of biological variations in photodynamic therapy (PDT)-induced clinical epidermal toxicity|Range of biological variations in PDT-induced tissue damage and host responses on a microscopic level|Range of biological variations in the rate and extent of treatment-induced photobleaching within lesions and skin,http://ClinicalTrials.gov/show/NCT00002975,United States,1,1,1,1
NCT00003078,Radiation Therapy With or Without Cisplatin or Fluorouracil in Treating Patients With Cancer of the Cervix,Completed,No Results Available,Cervical Cancer,Drug: cisplatin|Drug: fluorouracil|Radiation: brachytherapy|Radiation: radiation therapy,Gynecologic Oncology Group|National Cancer Institute (NCI),Female,Child|Adult|Senior,Phase III,870,Other|NIH,Interventional,Allocation: Randomized|Primary Purpose: Treatment,CDR0000065771|GOG-0165,11/01/1999,01/10/1997,NA,2/27/2010,01/02/2010,,01/01/2009,,http://ClinicalTrials.gov/show/NCT00003078,"United States, &nbsp; Canada",1,1,4,0
NCT00003128,"Ifosfamide With or Without Paclitaxel in Treating Patients With Advanced, Refractory, or Recurrent Cancer of the Uterus",Completed,No Results Available,Sarcoma,Biological: filgrastim|Drug: ifosfamide|Drug: paclitaxel,Gynecologic Oncology Group|National Cancer Institute (NCI)|Eastern Cooperative Oncology Group,Female,Adult|Senior,Phase III,166,Other|NIH,Interventional,Allocation: Randomized|Primary Purpose: Treatment,CDR0000065891|GOG-0161|ECOG-G0161,11/01/1999,01/11/1997,NA,2/13/2009,01/05/2004,,01/01/2009,,http://ClinicalTrials.gov/show/NCT00003128,United States,1,1,3,0
NCT00003134,Irinotecan in Treating Patients With Recurrent Glioma,Completed,No Results Available,Brain and Central Nervous System Tumors,Drug: irinotecan hydrochloride,North Central Cancer Treatment Group|National Cancer Institute (NCI),Both,Adult|Senior,Phase II,60,Other|NIH,Interventional,Primary Purpose: Treatment,CDR0000065900|NCCTG-967251,11/01/1999,01/01/1998,NA,1/27/2009,01/01/2009,,01/01/2009,,http://ClinicalTrials.gov/show/NCT00003134,United States,1,1,1,0
NCT00003199,Combination Chemotherapy and Peripheral Stem Cell Transplantation Followed by Interleukin-2 and Sargramostim in Treating Patients With Inflammatory Stage IIIB or Metastatic Stage IV Breast Cancer,Completed,No Results Available,Breast Cancer,Biological: aldesleukin|Biological: sargramostim|Drug: busulfan|Drug: melphalan|Drug: tamoxifen citrate|Drug: thiotepa|Procedure: bone marrow ablation with stem cell support|Procedure: peripheral blood stem cell transplantation|Radiation: radiation therapy,Fred Hutchinson Cancer Research Center|National Cancer Institute (NCI),Both,Adult,Phase II,70,Other|NIH,Interventional,Masking: Open Label|Primary Purpose: Treatment,1229.00|FHCRC-1229.00|PSOC-1605|NCI-G98-1399|CDR0000066035|IR-4559,11/01/1999,01/11/1997,NA,10/01/2010,01/10/2010,,01/12/2009,,http://ClinicalTrials.gov/show/NCT00003199,United States,1,1,9,1
NCT00003377,"Radiation Therapy, Paclitaxel, and Cisplatin in Treating Patients With Cancer of the Cervix",Completed,No Results Available,Cervical Cancer,Drug: cisplatin|Drug: paclitaxel|Radiation: brachytherapy|Radiation: radiation therapy,Gynecologic Oncology Group|National Cancer Institute (NCI),Female,Adult|Senior,Phase I|Phase II,40,Other|NIH,Interventional,Primary Purpose: Treatment,CDR0000066371|GOG-9804,11/01/1999,01/11/1999,NA,10/15/2009,01/05/2006,,01/07/2009,Maximum tolerated dose (MTD) as assessed by CTC 3.0 after 6 weeks of treatment|Toxicity of the MTD as assessed by CTC 3.0 after 6 weeks of treatment|Disease-free survival at 2 years|Overall survival at 2 years,http://ClinicalTrials.gov/show/NCT00003377,United States,1,1,4,0
NCT00003417,Computer Planned Radiation Therapy Plus Chemotherapy in Treating Patients With Glioblastoma Multiforme,Completed,No Results Available,Brain and Central Nervous System Tumors,Drug: carmustine|Radiation: radiation therapy,Radiation Therapy Oncology Group|National Cancer Institute (NCI),Both,Adult|Senior,Phase I|Phase II,40,Other|NIH,Interventional,Primary Purpose: Treatment,CDR0000066432|RTOG-9803,11/01/1999,01/09/1998,NA,12/26/2009,01/09/2003,,01/03/2009,,http://ClinicalTrials.gov/show/NCT00003417,"United States, &nbsp; Canada",1,1,2,0
NCT00003659,"Fludarabine, Cyclophosphamide, and Rituximab in Treating Patients Who Have Chronic Lymphocytic Leukemia",Completed,No Results Available,Leukemia,Biological: filgrastim|Biological: rituximab|Drug: cyclophosphamide|Drug: fludarabine phosphate,Memorial Sloan-Kettering Cancer Center|National Cancer Institute (NCI),Both,Adult|Senior,Phase II,30,Other|NIH,Interventional,Masking: Open Label|Primary Purpose: Treatment,CDR0000066752|MSKCC-98080|NCI-G98-1483,11/01/1999,01/09/1998,NA,06/06/2009,01/06/2009,,01/05/2009,,http://ClinicalTrials.gov/show/NCT00003659,United States,1,1,4,0
NCT00003691,"Combination Chemotherapy With or Without G-CSF in Treating Patients With Stage III, Stage IV, or Recurrent Endometrial Cancer",Completed,No Results Available,Endometrial Cancer,Biological: filgrastim|Drug: cisplatin|Drug: doxorubicin hydrochloride|Drug: paclitaxel,Gynecologic Oncology Group|National Cancer Institute (NCI),Female,Adult|Senior,Phase III,240,Other|NIH,Interventional,Allocation: Randomized|Primary Purpose: Treatment,CDR0000066794|GOG-0177,11/01/1999,01/12/1998,NA,09/10/2010,01/09/2010,,01/01/2009,,http://ClinicalTrials.gov/show/NCT00003691,"United States, &nbsp; Canada",1,1,4,0
NCT00003892,ISIS 5132 in Treating Patients With Metastatic or Recurrent Ovarian Cancer,Completed,No Results Available,Ovarian Cancer,Drug: ISIS 5132,NCIC Clinical Trials Group,Female,Adult|Senior,Phase II,30,Other,Interventional,Primary Purpose: Treatment,I116|CAN-NCIC-IND116|CDR0000067061,11/01/1999,01/02/1999,01/12/2009,11/07/2010,01/03/2010,,01/12/2009,,http://ClinicalTrials.gov/show/NCT00003892,"United States, &nbsp; Canada, &nbsp; United Kingdom",1,0,1,NA
NCT00003896,"Combination Chemotherapy in Treating Women With Stage III Ovarian Cancer, Fallopian Tube Cancer, or Primary Peritoneal Cancer",Completed,No Results Available,Fallopian Tube Cancer|Ovarian Cancer|Peritoneal Cavity Cancer,Drug: cisplatin|Drug: paclitaxel|Drug: pegylated liposomal doxorubicin hydrochloride|Procedure: adjuvant therapy,Southwest Oncology Group|National Cancer Institute (NCI),Female,Child|Adult|Senior,Phase II,62,Other|NIH,Interventional,Masking: Open Label|Primary Purpose: Treatment,CDR0000067066|SWOG-S9912,11/01/1999,01/09/1999,NA,06/10/2009,01/09/2005,,01/01/2009,Progression-free survival,http://ClinicalTrials.gov/show/NCT00003896,United States,1,0,4,NA
NCT00004547,"Treatment of Peritoneal Cancer With Surgery, Perfused Heated Cisplatin and Chemotherapy",Completed,No Results Available,Abdominal Neoplasm|Colonic Neoplasm|Mesothelioma|Peritoneal Neoplasm,Procedure: Adjuvant therapy|Procedure: Conventional therapy|Drug: Cisplatin|Drug: fluorouracil|Drug: Paclitaxel|Procedure: Hyperthermia treatment,National Cancer Institute (NCI),Both,Child|Adult,Phase II,188,NIH,Interventional,Masking: Open Label|Primary Purpose: Treatment,000069|00-C-0069,02/03/2000,01/01/2000,01/08/2009,9/17/2010,01/05/2010,,01/08/2009,Disease-free survival at 6 or 12 months.,http://ClinicalTrials.gov/show/NCT00004547,United States,1,1,6,0
NCT00004888,Combination Chemotherapy With or Without Trastuzumab in Treating Women With Metastatic Breast Cancer,Completed,No Results Available,Breast Cancer,Biological: trastuzumab|Drug: docetaxel|Drug: pegylated liposomal doxorubicin hydrochloride,Eastern Cooperative Oncology Group|National Cancer Institute (NCI),Female,Adult|Senior,Phase II,NA,Other|NIH,Interventional,Primary Purpose: Treatment,CDR0000067564|ECOG-3198,03/07/2000,01/10/2000,NA,5/29/2009,01/04/2004,,01/05/2009,,http://ClinicalTrials.gov/show/NCT00004888,"United States, &nbsp; South Africa",1,0,3,NA
NCT00005036,Irinotecan Compared With Combination Chemotherapy in Treating Patients With Advanced Colorectal Cancer,Completed,No Results Available,Colorectal Cancer,Drug: FOLFOX regimen|Drug: fluorouracil|Drug: irinotecan hydrochloride|Drug: leucovorin calcium|Drug: oxaliplatin,North Central Cancer Treatment Group|National Cancer Institute (NCI)|Southwest Oncology Group|Eastern Cooperative Oncology Group,Both,Adult|Senior,Phase III,NA,Other|NIH,Interventional,Allocation: Randomized|Control: Active Control|Primary Purpose: Treatment,CDR0000067623|NCCTG-N9841|ECOG-N9841|SWOG-N9841,04/06/2000,01/11/1999,NA,10/15/2009,01/02/2004,,01/01/2009,,http://ClinicalTrials.gov/show/NCT00005036,"United States, &nbsp; Canada, &nbsp; South Africa",1,1,5,0
NCT00005811,Topotecan in Treating Children With Meningeal Cancer That Has Not Responded to Previous Treatment,Completed,No Results Available,"Brain and Central Nervous System Tumors|Leukemia|Lymphoma|Unspecified Childhood Solid Tumor, Protocol Specific",Drug: topotecan hydrochloride,Children's Oncology Group|National Cancer Institute (NCI),Both,Child|Adult,Phase II,77,Other|NIH,Interventional,Masking: Open Label|Primary Purpose: Treatment,CDR0000067813|COG-P9962|POG-9962|CCG-P9962|NCI-01-C-0123,06/02/2000,01/04/2000,NA,11/20/2010,01/11/2010,,01/02/2009,Therapeutic activity|Safety and toxicity|Concentration of matrix metalloproteinases in the CSF,http://ClinicalTrials.gov/show/NCT00005811,"United States, &nbsp; Australia, &nbsp; Canada, &nbsp; Switzerland",1,1,1,0
NCT00005850,Combination Chemotherapy Plus Fluoxetine in Treating Patients With Advanced or Recurrent Non-Small Cell Lung Cancer,Completed,No Results Available,Anxiety Disorder|Depression|Fatigue|Lung Cancer,Drug: cisplatin|Drug: fluoxetine|Drug: gemcitabine hydrochloride,Cancer and Leukemia Group B|National Cancer Institute (NCI),Both,Child|Adult|Senior,Phase II,NA,Other|NIH,Interventional,Primary Purpose: Treatment,CDR0000067871|CLB-119802,06/02/2000,01/08/2001,NA,09/10/2009,01/08/2003,,01/08/2009,,http://ClinicalTrials.gov/show/NCT00005850,"United States, &nbsp; Puerto Rico",1,1,3,0
NCT00005963,Docetaxel and Carboplatin in Treating Women With Metastatic Breast Cancer,Completed,No Results Available,Breast Cancer,Drug: carboplatin|Drug: docetaxel,North Central Cancer Treatment Group|National Cancer Institute (NCI),Female,Adult|Senior,Phase II,NA,Other|NIH,Interventional,Primary Purpose: Treatment,CDR0000067945|NCCTG-N9932,07/05/2000,01/11/2000,NA,1/31/2009,01/05/2006,,01/01/2009,,http://ClinicalTrials.gov/show/NCT00005963,United States,1,1,2,0
NCT00006001,SU5416 in Treating Patients With Metastatic or Locally Recurrent Colorectal Cancer,Completed,No Results Available,Colorectal Cancer,Drug: semaxanib,University of Chicago|National Cancer Institute (NCI),Both,Adult|Senior,Phase II,NA,Other|NIH,Interventional,Primary Purpose: Treatment,CDR0000068009|UCCRC-NCI-52|NCI-52,07/05/2000,01/08/2000,NA,2/26/2009,01/02/2009,,01/02/2009,,http://ClinicalTrials.gov/show/NCT00006001,United States,1,0,1,NA
NCT00006014,SU5416 in Treating Patients With Malignant Mesothelioma,Completed,No Results Available,Malignant Mesothelioma,Drug: semaxanib,University of Chicago|National Cancer Institute (NCI),Both,Adult|Senior,Phase II,NA,Other|NIH,Interventional,Primary Purpose: Treatment,CDR0000068023|UCCRC-10409|UCCRC-NCI-44|NCI-44,07/05/2000,01/08/2000,NA,2/26/2009,01/02/2009,,01/02/2009,,http://ClinicalTrials.gov/show/NCT00006014,United States,1,0,1,NA
NCT00006015,"Combination Chemotherapy Plus Trastuzumab in Treating Patients With Advanced, Recurrent, or Metastatic Colorectal Cancer",Completed,No Results Available,Colorectal Cancer,Biological: trastuzumab|Drug: fluorouracil|Drug: leucovorin calcium|Drug: oxaliplatin,Cancer and Leukemia Group B|National Cancer Institute (NCI),Both,Adult|Senior,Phase II,NA,Other|NIH,Interventional,Primary Purpose: Treatment,CDR0000068024|CALGB-89902,07/05/2000,01/05/2000,NA,4/26/2009,01/04/2009,,01/01/2009,Response rate after treatment with study regimen|Time to progression|Overall toxicity,http://ClinicalTrials.gov/show/NCT00006015,United States,1,1,4,0
NCT00006228,Trastuzumab Plus Interleukin-2 in Treating Patients With Metastatic Breast Cancer,Completed,No Results Available,Breast Cancer,Biological: aldesleukin|Biological: trastuzumab,Arthur G. James Cancer Hospital & Richard J. Solove Research Institute|National Cancer Institute (NCI),Both,Child|Adult|Senior,Phase II,NA,Other|NIH,Interventional,Primary Purpose: Treatment,CDR0000068150|OSU-99H0192|OSU-9945|NCI-195,09/11/2000,01/01/2001,NA,02/06/2010,01/12/2003,,01/07/2009,,http://ClinicalTrials.gov/show/NCT00006228,United States,0,NA,2,1
NCT00006229,Paclitaxel and Carboplatin With or Without BMS-275291 in Treating Patients With Advanced or Metastatic Non-small Cell Lung Cancer,Completed,No Results Available,Lung Cancer,Drug: carboplatin|Drug: paclitaxel|Drug: rebimastat,NCIC Clinical Trials Group,Both,Adult|Senior,Phase II|Phase III,NA,Other,Interventional,Allocation: Randomized|Control: Placebo Control|Masking: Double-Blind|Primary Purpose: Treatment,BR18|CAN-NCIC-BR18|BMS-CA161-003|CDR0000068153,09/11/2000,01/04/2000,01/02/2009,11/07/2010,01/03/2010,,01/02/2009,,http://ClinicalTrials.gov/show/NCT00006229,"United States, &nbsp; Austria, &nbsp; Belgium, &nbsp; Canada, &nbsp; Finland, &nbsp; France, &nbsp; Germany, &nbsp; Italy, &nbsp; Netherlands, &nbsp; Poland, &nbsp; Portugal, &nbsp; Spain, &nbsp; Switzerland, &nbsp; United Kingdom",1,0,3,NA
NCT00006461,Combination Chemotherapy Followed by Second-Look Surgery and Radiation Therapy in Treating Children With Nonmetastatic Medulloblastoma or Primitive Neuroectodermal Tumor,Completed,No Results Available,Brain and Central Nervous System Tumors,Drug: cisplatin|Drug: cyclophosphamide|Drug: etoposide|Drug: vincristine sulfate|Procedure: conventional surgery|Radiation: radiation therapy,Children's Oncology Group|National Cancer Institute (NCI),Both,Child,Phase III,65,Other|NIH,Interventional,Primary Purpose: Treatment,CDR0000068269|COG-P9934|POG-P9934,11/06/2000,01/10/2000,NA,11/20/2010,01/11/2010,,01/01/2009,Event-free survival rate at 1 year|Feasibility and safety|Toxicity|Neuropsychological and neuroendocrine effects|Incidence of atypical teratoid and/or rhabdoid tumor,http://ClinicalTrials.gov/show/NCT00006461,"United States, &nbsp; Australia, &nbsp; Canada, &nbsp; Netherlands, &nbsp; New Zealand, &nbsp; Switzerland",1,1,6,0
NCT00006734,Comparison of Combination Chemotherapy Regimens in Treating Patients With Ewing's Sarcoma or Neuroectodermal Tumor,Completed,No Results Available,Sarcoma,Biological: filgrastim|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: etoposide|Drug: ifosfamide|Drug: vincristine sulfate|Procedure: adjuvant therapy|Procedure: conventional surgery|Procedure: neoadjuvant therapy|Radiation: brachytherapy|Radiation: radiation therapy,Children's Oncology Group|National Cancer Institute (NCI)|Southwest Oncology Group,Both,Child|Adult,Phase III,NA,Other|NIH,Interventional,Allocation: Randomized|Control: Active Control|Primary Purpose: Treatment,CDR0000068323|COG-AEWS0031|CCG-A7983|SWOG-COG-AEWS0031,12/06/2000,01/05/2001,NA,12/16/2010,01/11/2010,,01/08/2009,Event-free survival,http://ClinicalTrials.gov/show/NCT00006734,"United States, &nbsp; Australia, &nbsp; Canada, &nbsp; Netherlands, &nbsp; New Zealand, &nbsp; Puerto Rico, &nbsp; Switzerland",1,1,11,0
NCT00009867,Arsenic Trioxide in Treating Patients With Recurrent Bladder or Urinary Tract Cancer,Completed,No Results Available,Bladder Cancer|Transitional Cell Cancer of the Renal Pelvis and Ureter|Urethral Cancer,Drug: arsenic trioxide,Cancer and Leukemia Group B|National Cancer Institute (NCI),Both,Adult|Senior,Phase II,NA,Other|NIH,Interventional,Primary Purpose: Treatment,CDR0000068419|CLB-99903,02/02/2001,01/02/2001,NA,10/15/2009,01/10/2009,,01/07/2009,,http://ClinicalTrials.gov/show/NCT00009867,United States,1,1,1,0
NCT00009893,Combination Chemotherapy in Treating Patients With Unresectable or Metastatic Biliary Tract or Gallbladder Cancer,Completed,No Results Available,Extrahepatic Bile Duct Cancer|Gallbladder Cancer|Liver Cancer,Drug: fluorouracil|Drug: gemcitabine hydrochloride|Drug: leucovorin calcium,North Central Cancer Treatment Group|National Cancer Institute (NCI),Both,Adult|Senior,Phase II,NA,Other|NIH,Interventional,Primary Purpose: Treatment,CDR0000068421|NCCTG-N0042,02/02/2001,01/05/2001,NA,10/16/2009,01/10/2009,,01/10/2009,,http://ClinicalTrials.gov/show/NCT00009893,United States,1,1,3,0
NCT00014495,Chemotherapy and Monoclonal Antibody Therapy in Treating Patients With Advanced Myeloid Cancer,Completed,No Results Available,Leukemia|Myelodysplastic Syndromes|Myelodysplastic/Myeloproliferative Neoplasms,Biological: filgrastim|Drug: cytarabine|Radiation: bismuth Bi213 monoclonal antibody M195,Memorial Sloan-Kettering Cancer Center|National Cancer Institute (NCI),Both,Child|Adult|Senior,Phase I|Phase II,39,Other|NIH,Interventional,Primary Purpose: Treatment,CDR0000068549|MSKCC-00117|NCI-H01-0071,04/10/2001,01/11/2000,NA,04/10/2010,01/10/2008,,01/12/2009,"Maximum tolerated dose|Antileukemic effects|Toxicity|Pharmacology, biodistribution, and dosimetry",http://ClinicalTrials.gov/show/NCT00014495,United States,1,0,3,NA
NCT00015457,Amlodipine Plus Botulinum Toxin for Focal Dystonia,Completed,No Results Available,Focal Dystonia,Drug: Amlodipine plus Botulinum toxin,National Institute of Neurological Disorders and Stroke (NINDS),Both,Adult|Senior,Phase II,80,NIH,Interventional,"Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Crossover Assignment|Masking: Double Blind (Subject, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",010147|01-N-0147,4/18/2001,01/04/2001,NA,1/28/2010,01/04/2009,,01/04/2009,Change in response to botulinum toxin injection.|Change in duration of response to bolulinum toxin injection.,http://ClinicalTrials.gov/show/NCT00015457,United States,1,1,1,0
NCT00015886,Combination Chemotherapy in Treating Women With Breast Cancer That is Metastatic or Cannot be Treated With Surgery,Completed,No Results Available,Breast Cancer,Drug: docetaxel|Drug: fluorouracil|Drug: leucovorin calcium,Wake Forest University|National Cancer Institute (NCI),Female,Adult|Senior,Phase II,NA,Other|NIH,Interventional,Primary Purpose: Treatment,CDR0000068567|CCCWFU-74896|NCI-3137,05/06/2001,01/05/2001,NA,9/18/2009,01/09/2009,,01/07/2009,,http://ClinicalTrials.gov/show/NCT00015886,United States,1,1,3,0
NCT00016120,Vaccine Therapy Plus Biological Therapy in Treating Patients With Relapsed Prostate Cancer,Completed,No Results Available,Prostate Cancer,Biological: Globo H-GM2-Lewis-y-MUC1-32-mer-TF(c)-Tn(c)-KLH conjugate vaccine|Biological: QS21,Memorial Sloan-Kettering Cancer Center|National Cancer Institute (NCI),Male,Adult|Senior,Phase II,NA,Other|NIH,Interventional,Primary Purpose: Treatment,CDR0000068596|MSKCC-00064|NCI-G01-1940,05/06/2001,01/06/2000,NA,12/13/2009,01/12/2003,,01/03/2009,,http://ClinicalTrials.gov/show/NCT00016120,United States,0,NA,2,NA
