"","Rank","NCT.ID","Title","Recruitment","Study.Results","Conditions","Interventions","Sponsors","Gender","Age.Groups","Phases","Enrollment","Funded.Bys","Study.Types","Study.Designs","Other.IDs","First.Received","Start.Date","Completion.Date","Last.Updated","Last.Verified","Acronym","Primary.Completion.Date","Outcome.Measures","URL","study.location"
"351",351,"NCT00504400","Ranibizumab to Treat Type 2 Idiopathic Macular Telangiectasia (RAMA-Trial)","Completed","No Results Available","Type 2 Idiopathic Macular Telangiectasia","Drug: Intravitreal injection ranibizumab","University Hospital, Bonn|Novartis","Both","Adult|Senior","Phase II",10,"Other|Industry","Interventional","Control: Uncontrolled|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","CRFB002ADE04|EudraCT number 2006-006233-40","July 18, 2007","01/08/2007",2009-09-01,"September 21, 2009","01/09/2009","",2009-06-01,"Best corrected visual acuity|Reading ability|Scotomas measured by means of microperimetry|Changes in retinal thickness assessed by optical coherence tomography (OCT) imaging|Changes in parafoveal leakage assessed by fluorescein angiography|Quality of life","http://ClinicalTrials.gov/show/NCT00504400",NA
"374",374,"NCT00540800","BREAST-10: Three-weekly Versus Weekly First-line Chemotherapy for Metastatic or Locally Advanced Breast Cancer","Completed","No Results Available","Breast Cancer","Drug: docetaxel|Drug: epirubicin|Drug: capecitabine","National Cancer Institute, Naples","Female","Child|Adult|Senior","Phase III",280,"Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","BREAST-10","October 5, 2007","01/02/2004",2009-12-01,"February 23, 2010","01/02/2010","BREAST-10",2009-09-01,"quality of life|Response rate|Toxicity|overall survival","http://ClinicalTrials.gov/show/NCT00540800",NA
"379",379,"NCT00543400","Evaluation of M118 in Percutaneous Coronary Intervention (EMINENCE)","Completed","No Results Available","Coronary Artery Disease (CAD)|Percutaneous Coronary Intervention (PCI)","Drug: M118|Drug: Unfractionated Heparin","Momenta Pharmaceuticals, Inc.","Both","Adult|Senior","Phase II",503,"Industry","Interventional","Allocation: Randomized|Control: Placebo Control|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Prevention","MOM-M118-006|M118-006a Substudy","October 11, 2007","01/09/2007",2009-05-01,"September 30, 2009","01/09/2009","EMINENCE",2009-04-01,"Clinical events defined as the composite of 30-day death, MI, repeat revascularization, catheter thrombus, stroke, thrombocytopenia, bailout use of glycoprotein IIb/IIIa inhibitors and bleeding.","http://ClinicalTrials.gov/show/NCT00543400",NA
"423",423,"NCT00625300","Repetitive Transcranial Stimulation (r-TMS) Treatment for Patients With Parkinson's Disease","Completed","No Results Available","Parkinson's Disease","Device: repetitive transcranial stimulation (r-TMS)|Device: Repetitive transcranial stimulation","Sheba Medical Center|Weizmann Institute of Science","Both","Adult|Senior","Phase II",20,"Other","Interventional","Allocation: Randomized|Control: Placebo Control|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Outcomes Assessor)|Primary Purpose: Treatment","SHEBA-08-4726-OC-CTIL","February 13, 2008","01/04/2008",2009-07-01,"October 19, 2009","01/10/2009","r-TMS",2009-07-01,"Unified Parkinson Disease Rating Scale (UPDRS)(Motor Part)|Clinical Global Impression of Severity (CGIS)","http://ClinicalTrials.gov/show/NCT00625300",NA
"424",424,"NCT00581100","Effects of Etanercept on Nail Psoriasis and Plaque Psoriasis","Completed","Has Results","Nail Psoriasis|Plaque Psoriasis","Drug: etanercept","Wyeth","Both","Adult|Senior","Phase IV",136,"Industry","Interventional","Allocation: Randomized|Control: Active Control|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","0881A6-409","December 21, 2007","01/09/2007",2009-10-01,"August 3, 2010","01/08/2010","",2009-08-01,"Change From Baseline in Nail Psoriasis Severity Index (NAPSI) Score for Target Fingernail|Change From Baseline in Overall Nail Psoriasis Severity Index (NAPSI) Score|Percent of Participants Who Achieved a 50% Improvement in the Nail Psoriasis Severity Index (NAPSI) Score for Target Fingernail at Week 12 and Week 24|Percent of Participants Who Achieved a 75% Improvement in the Nail Psoriasis Severity Index (NAPSI) Score for Target Fingernail at Week 12 and Week 24|Percent of Participants Who Achieved a 50% Improvement in the Nail Psoriasis Severity Index (NAPSI) for Overall NAPSI Score at Week 12 and Week 24|Percent of Participants Who Achieved a 75% Improvement in the Nail Psoriasis Severity Index (NAPSI) for Overall NAPSI Score at Week 12 and Week 24|Change From Baseline in the Psoriasis Area and Severity Index (PASI) Score|Percent of Participants Achieving a 50% Improvement in the Psoriasis Area and Severity Index (PASI) Score at Week 12 and Week 24|Percent of Participants Achieving a 75% Improvement in the Psoriasis Area and Severity Index (PASI) Score at Week 12 and Week 24|Change From Baseline in Physician Global Assessment (PGA) of Psoriasis|Percent of Participants Achieving a Status on the Physician Global Assessment (PGA) of Psoriasis of Clear or Almost Clear|Percent of Participants Achieving a Status on the Physician Global Assessment (PGA) of Psoriasis of Mild or Better|Change From Baseline in the Dermatology Life Quality Index (DLQI)|Change From Baseline in Physician Assessment of Nail Psoriasis Activity Visual Analog Scale (VAS)|Change From Baseline in Patient Assessment of Nail Psoriasis Activity Visual Analog Scale (VAS)|Change From Baseline in Physician Fingernail Grading Assessment Total Score","http://ClinicalTrials.gov/show/NCT00581100",NA
"431",431,"NCT00630500","Efficacy and Safety of Memantine for Parkinson's Disease Dementia (PDD) and Dementia With Lewy Bodies (DLB)","Completed","No Results Available","Dementia Associated With Parkinson's Disease|Dementia With Lewy Bodies","Drug: Memantine|Drug: Placebo","Helse Stavanger HF|King's College London|Lund University","Both","Child|Adult|Senior","Phase II",75,"Other","Interventional","Allocation: Randomized|Control: Placebo Control|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","MEMPDD-130206","February 27, 2008","01/02/2006",2009-03-01,"July 26, 2010","01/02/2009","MEMPDD",2009-02-01,"Clinical Global Impression of Change|MMSE|Alzheimer's QUick Test|Cognitive Drug Research test|Neuropsychiatric Inventory|Unified Parkinson's Disease Rating Scale, part III|Epworth Sleep Scale|Stavanger Sleep Scale","http://ClinicalTrials.gov/show/NCT00630500",NA
"434",434,"NCT00633100","Phase II Clinical Study of E7389 for Advanced or Relapsed Breast Cancer","Completed","No Results Available","Breast Cancer","Drug: E7389","Eisai Limited","Female","Adult|Senior","Phase II",82,"Industry","Interventional","Allocation: Non-Randomized|Control: Uncontrolled|Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","E7389-J081-221","February 4, 2008","01/01/2008",2009-09-01,"February 23, 2010","01/02/2010","",2009-09-01,"Objective response rate as measured by Response Evaluation Criteria In Solid Tumors (RECIST) criteria.|Safety profile|Duration of objective response","http://ClinicalTrials.gov/show/NCT00633100",NA
"454",454,"NCT00666900","A Clinical Study Evaluating the Safety and Efficacy of IDP-107 in Patients With Acne Vulgaris","Completed","No Results Available","Acne Vulgaris","Drug: Low Strength IDP-107|Drug: High Strength IDP-107|Drug: Placebo Comparator","Dow Pharmaceutical Sciences","Both","Child|Adult|Senior","Phase II",366,"Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Investigator)|Primary Purpose: Treatment","DPSI-IDP-107-P2-01","April 23, 2008","01/01/2008",2009-09-01,"September 15, 2010","01/09/2010","",2009-03-01,"Change from baseline in the number of inflammatory lesions|Improvement from baseline in global severity|Change from baseline in the number of non-inflammatory lesions","http://ClinicalTrials.gov/show/NCT00666900",NA
"465",465,"NCT00679900","Comparison of Eplivanserin and Lormetazepam in the Treatment of Insomnia Characterized by Sleep Maintenance Difficulties","Completed","No Results Available","Sleep Initiation and Maintenance Disorders","Drug: eplivanserin (SR46349)|Drug: lormetazepam","Sanofi-Aventis","Both","Adult|Senior","Phase III",283,"Industry","Interventional","Allocation: Randomized|Control: Active Control|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","EFC10480|EudraCT 2007-003822-28","May 7, 2008","01/04/2008",2009-03-01,"November 29, 2010","01/11/2010","DREAMS",2009-03-01,"Sleepiness in the morning measured on a visual analog scale of the patient's sleep questionnaire|Other measure of next-day residual effects (ability to concentrate of the patient's sleep questionnaire)|Rebound effect measured by pr-WASO and pr-SOL on patient's sleep questionnaire during the run-out period|Subjective sleep parameters","http://ClinicalTrials.gov/show/NCT00679900",NA
"504",504,"NCT00738400","Study of Vardenafil in Patients Suffering From Erectile Dysfunction and Metabolic Syndrome","Completed","No Results Available","Erectile Dysfunction|Metabolic Syndrome","Drug: Levitra (Vardenafil, BAY38-9456)|Drug: Placebo","Bayer","Male","Adult","Phase IV",150,"Industry","Interventional","Allocation: Randomized|Control: Active Control|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Investigator)|Primary Purpose: Treatment","13171|EudraCT No: 2008-002140-41|ED-METABOLIC","August 19, 2008","01/11/2008",2009-10-01,"January 29, 2010","01/01/2010","",2009-10-01,"IIEF-EF Domain score at week 8 or LOCF compared with baseline|Percentage of subjects achieving \back to normal\"" erectile function|All diary questions other than SEP 2 and 3 that concern erectile function that were assessed over the entire treatment period|Percentage of patients who can stay on the initially provided dosage of vardenafil (10 mg PRN)""","http://ClinicalTrials.gov/show/NCT00738400",NA
