"","Rank","NCT.ID","Title","Recruitment","Study.Results","Conditions","Interventions","Sponsors","Gender","Age.Groups","Phases","Enrollment","Funded.Bys","Study.Types","Study.Designs","Other.IDs","First.Received","Start.Date","Completion.Date","Last.Updated","Last.Verified","Acronym","Primary.Completion.Date","Outcome.Measures","URL","study.location"
"81500",81500,"NCT00574197","Enteric-coated Mycophenolate Sodium (Myfortic?ó) in Heart Transplant Recipients","Completed","No Results Available","Gastrointestinal Symptoms|Heart Transplantation","Drug: Mycophenolate Sodium","Cedars-Sinai Medical Center|Novartis Pharmaceuticals","Both","Adult|Senior","Phase IV",11,"Other|Industry","Interventional","Allocation: Non-Randomized|Control: Uncontrolled|Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","9810","December 13, 2007","01/06/2006",2009-12-01,"July 21, 2010","01/08/2009","",2009-12-01,"Side-effects using the GSRS (Gastrointestinal Symptoms Rating Scale), GI complications and GI adverse events|Incidence of biopsy proven acute rejection, graft loss, and death","http://ClinicalTrials.gov/show/NCT00574197","United States"
"81525",81525,"NCT00617097","Paracervical Block in First Trimester Surgical Abortions","Completed","No Results Available","Pain|Abortion, Induced","Drug: lidocaine|Drug: ketorolac and lidocaine","Johns Hopkins University|Oregon Health and Science University","Female","Adult","Phase II|Phase III",50,"Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","NA_00013075|SFP1-1","December 28, 2007","01/01/2008",2009-06-01,"June 8, 2009","01/06/2009","",2009-05-01,"The mean difference in distance (in millimeters) on a 100-mm Visual Analogue Scale (VAS) taken during specific time intervals throughout termination procedure.","http://ClinicalTrials.gov/show/NCT00617097","United States"
"81613",81613,"NCT00760097","Adjunctive Transcranial Direct Current Stimulation for Cognition in Major Depression","Completed","No Results Available","Depression","Device: Transcranial direct stimulation","University of California, Los Angeles","Both","Adult|Senior","Phase IV",18,"Other","Interventional","Allocation: Randomized|Control: Placebo Control|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Single Blind (Subject)|Primary Purpose: Diagnostic","aTDCS in MDD","September 24, 2008","01/09/2007",2009-05-01,"August 6, 2009","01/08/2009","aTDCS",2009-05-01,"To test our hypotheses, assessments of cognition, mood, and brain activity will be performed on three occasions|ADVERSE EVENT REPORTS Subjects will be asked about adverse events at the end of each treatment session","http://ClinicalTrials.gov/show/NCT00760097","United States"
"81633",81633,"NCT00797797","Study of Milnacipran Added to Pregabalin for Treatment of Fibromyalgia","Completed","No Results Available","Fibromyalgia","Drug: pregabalin|Drug: milnacipran","Forest Laboratories","Both","Adult|Senior","Phase III",364,"Industry","Interventional","Allocation: Randomized|Control: Active Control|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","MLN-MD-15","November 24, 2008","01/11/2008",2010-01-01,"April 29, 2010","01/04/2010","",2009-11-01,"PGIC responder rate at end of study|Change from baseline in VAS 1-week pain recall at end of study","http://ClinicalTrials.gov/show/NCT00797797","United States"
"82027",82027,"NCT00085098","Radiation Therapy Compared With Chemotherapy and Radiation Therapy in Treating Patients With Newly Diagnosed Primary CNS Germ Cell Tumor","Completed","No Results Available","Brain and Central Nervous System Tumors","Biological: filgrastim|Drug: carboplatin|Drug: cisplatin|Drug: cyclophosphamide|Drug: etoposide|Radiation: radiation therapy","Children's Oncology Group|National Cancer Institute (NCI)","Both","Child|Adult","Phase III",225,"Other|NIH","Interventional","Allocation: Randomized|Control: Active Control|Masking: Open Label|Primary Purpose: Treatment","CDR0000367294|COG-ACNS0232","June 10, 2004","01/01/2007",NA,"November 20, 2010","01/11/2010","",2009-08-01,"Event-free survival|Response|Toxicity|Quality of life","http://ClinicalTrials.gov/show/NCT00085098","United States, &nbsp; Australia, &nbsp; Canada, &nbsp; Puerto Rico"
"82157",82157,"NCT00307398","Anecortave Acetate Risk-Reduction Trial (AART)","Completed","No Results Available","Dry AMD","Drug: Anecortave Acetate","Alcon Research","Both","Adult|Senior","Phase III",2500,"Industry","Interventional","Allocation: Randomized|Control: Placebo Control|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Masking: Double-Blind|Primary Purpose: Treatment","C-02-60","March 24, 2006","01/03/2004",NA,"May 7, 2009","01/05/2009","",2009-01-01,"To demonstrate that anecortave acetate is safe and effective in arresting the progression of dry AMD to wet AMD in at-risk patients|Time to development of sight threatening CNV","http://ClinicalTrials.gov/show/NCT00307398","United States"
"82158",82158,"NCT00118898","Efavirenz or Atazanavir/Ritonavir Given With Emtricitabine/Tenofovir Disoproxil Fumarate or Abacavir/Lamivudine in HIV Infected Treatment-Naive Adults","Completed","Has Results","HIV Infections","Drug: Abacavir/Lamivudine|Drug: Atazanavir|Drug: Efavirenz|Drug: Emtricitabine/Tenofovir disoproxil fumarate|Drug: Ritonavir|Drug: Abacavir/Lamivudine placebo|Drug: Emtricitabine/Tenofovir disoproxil fumarate placebo","AIDS Clinical Trials Group|National Institute of Allergy and Infectious Diseases (NIAID)","Both","Child|Adult|Senior","Phase III",1864,"Other|NIH","Interventional","Allocation: Randomized|Control: Active Control|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","ACTG A5202|1U01AI068636|ACTG 5224s","July 7, 2005","01/09/2005",2009-11-01,"January 10, 2011","01/01/2011","",2009-11-01,"Time From Randomization to Virologic Failure|Time From Treatment Dispensation to a Grade 3/4 Safety Event|Time From Treatment Dispensation to Treatment Modification|Time From Treatment Dispensation to Regimen Failure (First Occurrence of Virologic Failure or Treatment Modification)|The Number of Participants With HIV-1 RNA Levels Less Than 50 Copies/mL|Number of Participants With HIV-1 RNA Levels Less Than 200 Copies/mL|Change in CD4 Count (Cells/mm3) From Baseline|Number of Participants With Virologic Failure and Emergence of Major Resistance|Number of Participants Experiencing Certain Targeted Clinical Events, Including Death, AIDS-defining Illness, and HIV-1 Related Events.|Change in Fasting Total Cholesterol Level From Baseline|Change in Fasting High-density Lipoprotein (HDL) Cholesterol Level From Baseline|Change in Fasting Non-high Density Lipoprotein (Non-HDL) Cholesterol Level From Baseline|Change in Fasting Triglyceride Level From Baseline","http://ClinicalTrials.gov/show/NCT00118898","United States, &nbsp; Puerto Rico"
"82202",82202,"NCT00378898","Feasibility of Placing Bravo PH Capsule in Proximal Esophagus","Completed","No Results Available","Gastroesophageal Reflux Disease","Device: Bravo PH capsule|Procedure: Fluoroscopy","Vanderbilt University","Both","Adult|Senior","Phase III",25,"Other","Interventional","Allocation: Randomized|Control: Placebo Control|Endpoint Classification: Safety Study|Intervention Model: Single Group Assignment|Masking: Double Blind (Subject, Investigator)|Primary Purpose: Diagnostic","60724","September 20, 2006","01/09/2006",2009-07-01,"January 11, 2010","01/01/2010","bravo",2009-03-01,"Patient tolerance to a Bravo PH monitor in the proximal esophagus after 48 hours|Collection of and comparison of data between distal and proximal Bravo capsule","http://ClinicalTrials.gov/show/NCT00378898","United States"
"82278",82278,"NCT00484198","Randomized, Double-Blind Active Comparator-Controlled Study of Rivoglitazone in Type 2 Diabetes Mellitus","Completed","No Results Available","Type 2 Diabetes Mellitus","Drug: pioglitazone|Drug: placebo|Drug: rivoglitazone HCl|Drug: rivoglitazone HCl","Daiichi Sankyo Inc.","Both","Adult|Senior","Phase III",1820,"Industry","Interventional","Allocation: Randomized|Control: Placebo Control|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Investigator)|Primary Purpose: Treatment","CS0011-A-U301","June 7, 2007","01/04/2007",2009-02-01,"February 1, 2010","01/02/2010","",2009-02-01,"Glycemic control - HbA1c|Glycemic control - FPG Responder rates - A1C Effects on lipid parameters","http://ClinicalTrials.gov/show/NCT00484198","United States, &nbsp; Argentina, &nbsp; Austria, &nbsp; Chile, &nbsp; Czech Republic, &nbsp; Germany, &nbsp; Hungary, &nbsp; India, &nbsp; Latvia, &nbsp; Mexico, &nbsp; Peru, &nbsp; Puerto Rico, &nbsp; Romania, &nbsp; Serbia, &nbsp; Slovakia, &nbsp; South Africa, &nbsp; Ukraine, &nbsp; United Kingdom"
"82318",82318,"NCT00556998","A Multiple-Dose Study To Evaluate The Pharmacokinetics And Safety Of Voriconazole In Immunocompromised Adolescents","Completed","No Results Available","Pharmacokinetics","Drug: Voriconazole","Pfizer","Both","Child","Phase I|Phase II",26,"Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Pharmacokinetics Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Prevention","A1501081","November 9, 2007","01/06/2008",2009-12-01,"August 2, 2010","01/08/2010","",2009-12-01,"Pharmacokinetic parameters of voriconazole in adolescents compared to historical adult data.|Safety and tolerability of voriconazole in adolescents","http://ClinicalTrials.gov/show/NCT00556998","United States"
"82335",82335,"NCT00586898","Rapid Hormonal Cycling as Treatment for Patients With Prostate Cancer: The Men's Cycle","Completed","No Results Available","Prostate|Cancer|Hormonal Cycling","Drug: GnRH|Drug: Ketoconazole|Drug: Bicalutamide|Drug: Testosterone transdermal gel|Drug: Estrogen transdermal patch","Memorial Sloan-Kettering Cancer Center","Male","Adult|Senior","Phase II",36,"Other","Interventional","Control: Uncontrolled|Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","01-085","December 21, 2007","01/07/2001",2009-03-01,"July 9, 2009","01/07/2009","",2009-03-01,"To determine the response to rapid hormonal cycling in patients with non-castrate prostate cancer.","http://ClinicalTrials.gov/show/NCT00586898","United States"
"82391",82391,"NCT00686998","Phase IIA Study in Patients With Schizophrenia","Completed","No Results Available","Schizophrenia","Drug: AZD2624|Drug: Olanzapine|Drug: Placebo","AstraZeneca","Both","Adult","Phase II",110,"Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Investigator)|Primary Purpose: Treatment","D0970C00004","May 28, 2008","01/05/2008",2009-05-01,"August 18, 2009","01/08/2009","",2009-05-01,"Change in PANSS total score|Safety and Tolerability of AZD2624 vs Placebo|Pharmacokinetic evaluation","http://ClinicalTrials.gov/show/NCT00686998","United States"
"82392",82392,"NCT00685698","Safety and Efficacy Study of TG-873870 (Nemonoxacin) in Diabetic Foot Infections","Completed","No Results Available","Diabetic Foot Infections","Drug: TG-873870 (Nemonoxacin)","TaiGen Biotechnology Co., Ltd.","Both","Adult|Senior","Phase II",40,"Industry","Interventional","Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","TG-873870-04","May 22, 2008","01/06/2008",2009-06-01,"January 18, 2010","01/01/2010","",2009-04-01,"Clinical Success|Safety Evaluation|Microbiological Success Rate|PK and PD Evaluation","http://ClinicalTrials.gov/show/NCT00685698","United States, &nbsp; South Africa, &nbsp; Taiwan, &nbsp; Thailand"
"82407",82407,"NCT00709098","Safety Study Extension of Iloprost Power 15 in Pulmonary Arterial Hypertension","Completed","No Results Available","Pulmonary Arterial Hypertension","Drug: iloprost|Drug: iloprost","Actelion","Both","Adult|Senior","Phase III",49,"Industry","Interventional","Allocation: Randomized|Control: Active Control|Endpoint Classification: Safety Study|Intervention Model: Crossover Assignment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","AC-063A302","July 1, 2008","01/06/2008",2009-12-01,"April 30, 2010","01/04/2010","PROWESS 15 Ext",2009-11-01,"Treatment-emergent adverse events|Treatment-emergent serious adverse events|Adverse events leading to premature discontinuation of study drug|Treatment-emergent adverse events and serious adverse events leading to study drug discontinuation","http://ClinicalTrials.gov/show/NCT00709098","United States, &nbsp; Austria, &nbsp; Germany"
"82426",82426,"NCT00748098","Polysomnography Study of GSK1838262 (XP13512) Extended Release Tablets Versus Placebo in Restless Legs Syndrome (RLS) and Associated Sleep Disturbance","Completed","No Results Available","Restless Legs Syndrome (RLS)","Drug: GSK1838262 Extended Release Tablets|Drug: Placebo","GlaxoSmithKline","Both","Adult|Senior","Phase III",136,"Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Crossover Assignment|Masking: Double Blind (Subject, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","RXP110908","September 5, 2008","01/10/2008",2009-07-01,"August 12, 2010","01/08/2010","",2009-07-01,"Change from baseline to end of each treatment period in Wake Time During Sleep (WTDS) measured by polysomnography|Change from baseline to end of each treatment period in Periodic Limb Movements associated with Arousal per hour (PLMAI) measured by polysomnography|Assess safety, tolerability, polysomnography efficacy measures, and patient reported outcomes.","http://ClinicalTrials.gov/show/NCT00748098","United States"
"82441",82441,"NCT00758498","Study of the Effect of Armodafinil Treatment in Healthy Subjects With Excessive Sleepiness Associated With Jet Lag Disorder","Completed","Has Results","Excessive Sleepiness","Drug: armodafinil|Drug: armodafinil|Drug: placebo","Cephalon","Both","Adult","Phase III",427,"Industry","Interventional","Allocation: Randomized|Control: Placebo Control|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","C10953/3065/ES/MN","September 23, 2008","01/09/2008",2009-02-01,"June 11, 2010","01/06/2010","",2009-02-01,"Multiple Sleep Latency Test (MSLT)|Patient Global Impression of Severity (PGI-S)|Karolinska Sleepiness Scale (KSS)|Multiple Sleep Latency Test (MSLT)|Patient Global Impression of Severity (PGI-S)","http://ClinicalTrials.gov/show/NCT00758498","United States"
"82487",82487,"NCT00813098","Study of LX1031 in Subjects With Non-Constipating Irritable Bowel Syndrome","Completed","Has Results","Irritable Bowel Syndrome","Drug: LX1031 High Dose|Drug: LX1031 Low Dose|Drug: Placebo","Lexicon Pharmaceuticals","Both","Adult|Senior","Phase II",155,"Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","Protocol LX1031.1-201-IBS|LX1031.201","December 19, 2008","01/12/2008",2010-08-01,"November 4, 2010","01/11/2010","",2009-07-01,"Subjects Who Experienced Relief of IBS Pain and Discomfort at Week 4|Change From Baseline at Week 4 in Proportion of Days Per Week When Experiencing Urgency to Defecate|Change From Baseline at Week 4 in Stool Consistency Scores|Change From Baseline at Week 4 in Stool Frequency|Change From Baseline at Week 4 on the Severity of Bloating|Change From Baseline at Week 4 on the Global Improvement Score.","http://ClinicalTrials.gov/show/NCT00813098","United States"
"82602",82602,"NCT01031498","Palonosetron Versus Ondansetron for the Prevention of Nausea and Vomiting","Completed","No Results Available","Acute Myelogenous Leukemia|Chemotherapy-Induced Nausea and Vomiting","Drug: Ondansetron|Drug: Palonosetron","M.D. Anderson Cancer Center|Eisai Inc.","Both","Adult|Senior","Phase II",150,"Other|Industry","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Supportive Care","2005-0389","December 10, 2009","01/09/2005",2009-09-01,"December 11, 2009","01/12/2009","",2009-09-01,"Number of Emetic Episodes (with no use of rescue medication) During Chemotherapy Administration","http://ClinicalTrials.gov/show/NCT01031498","United States"
"82688",82688,"NCT01187498","Behavioral Treatment of Overactive Bladder in Men","Completed","No Results Available","Overactive Bladder","Behavioral: Behavioral training|Drug: Oxybutynin chloride, extended release","Department of Veterans Affairs","Male","Adult|Senior","Phase III",143,"U.S. Fed","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Crossover Assignment|Masking: Open Label|Primary Purpose: Treatment","B3083R","August 20, 2010","01/01/2005",2009-10-01,"August 20, 2010","01/08/2010","MOTIVE",2009-10-01,"24-hour voiding frequency|Urgency severity|Urge incontinence|Nocturia frequency|Patient satisfaction|Patient perception of improvement|American Urological Association (AUA) Symptom Index|Incontinence Impact Questionnaire|Patient global rating of bothersome symptoms|Patient global rating of activity restriction|Patient report of symptom distress|Patient desire for alternate treatment","http://ClinicalTrials.gov/show/NCT01187498","United States"
"82769",82769,"NCT00003199","Combination Chemotherapy and Peripheral Stem Cell Transplantation Followed by Interleukin-2 and Sargramostim in Treating Patients With Inflammatory Stage IIIB or Metastatic Stage IV Breast Cancer","Completed","No Results Available","Breast Cancer","Biological: aldesleukin|Biological: sargramostim|Drug: busulfan|Drug: melphalan|Drug: tamoxifen citrate|Drug: thiotepa|Procedure: bone marrow ablation with stem cell support|Procedure: peripheral blood stem cell transplantation|Radiation: radiation therapy","Fred Hutchinson Cancer Research Center|National Cancer Institute (NCI)","Both","Adult","Phase II",70,"Other|NIH","Interventional","Masking: Open Label|Primary Purpose: Treatment","1229.00|FHCRC-1229.00|PSOC-1605|NCI-G98-1399|CDR0000066035|IR-4559","November 1, 1999","01/11/1997",NA,"October 1, 2010","01/10/2010","",2009-12-01,"","http://ClinicalTrials.gov/show/NCT00003199","United States"
"82831",82831,"NCT00080899","Fenretinide in Treating Patients With Biochemically Recurrent Hormone-Na??ve Prostate Cancer","Completed","No Results Available","Prostate Cancer","Drug: fenretinide","California Cancer Consortium|National Cancer Institute (NCI)","Male","Child|Adult|Senior","Phase II",37,"Other|NIH","Interventional","Masking: Open Label|Primary Purpose: Treatment","CDR0000357312|CCC-PHII-47|NCI-6168","April 7, 2004","01/06/2004",NA,"October 11, 2010","01/10/2010","",2009-01-01,"Prostate-specific antigen response|Time to clinical progression|Toxicity","http://ClinicalTrials.gov/show/NCT00080899","United States"
"82859",82859,"NCT00113399","Combination Chemotherapy With or Without Radiation Therapy in Treating Patients With Recurrent Head and Neck Cancer That Cannot Be Removed By Surgery","Completed","No Results Available","Head and Neck Cancer","Biological: filgrastim|Drug: cisplatin|Drug: docetaxel|Drug: fluorouracil|Drug: paclitaxel|Radiation: radiation therapy","Radiation Therapy Oncology Group|National Cancer Institute (NCI)","Both","Adult|Senior","Phase III",240,"Other|NIH","Interventional","Allocation: Randomized|Control: Active Control|Primary Purpose: Treatment","CDR0000429480|RTOG-0421|ECOG-R0421","June 7, 2005","01/04/2005",NA,"February 24, 2009","01/02/2009","",2009-02-01,"Survival|Progression-free survival|Grade 5 toxicity rate|Quality of life as assessed by the immediate (acute) side effects of treatment at 3 months|Quality of life as assessed by the late side effects of treatment at 6, 12, 24, and 36 months|Quality-adjusted survival","http://ClinicalTrials.gov/show/NCT00113399","United States"
